bit_manufacturer,bit_model,bit_diameters,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,total_runs,sources
N/A,RC478,8.5,4,?(7),check,"fallback-2dig:RC478->B4,C7",1,full_bit_scan
N/A,"RELEASE MILL 4,530 OD",6,5,?(3),check,"fallback-2dig:RELEASE MILL 4,530 OD->B5,C3",1,full_bit_scan
N/A,RSR716M-E5,12.25,7,16,check,"fallback-3dig:RSR716M-E5->B7,16mm",1,full_bit_scan
N/A,RX-516S,8.75,5,16,check,"fallback-3dig:RX-516S->B5,16mm",1,full_bit_scan
N/A,Revoloution CXV-616,17.5,6,16,check,"fallback-3dig:Revoloution CXV-616->B6,16mm",1,full_bit_scan
N/A,Revolution 616,12.25,6,16,check,"fallback-3dig:Revolution 616->B6,16mm",1,full_bit_scan
N/A,Revolution CVX-616 XTE,17.5,6,16,check,"fallback-3dig:Revolution CVX-616 XTE->B6,16mm",1,full_bit_scan
N/A,Revolution CXV-616,17.5,6,16,check,"fallback-3dig:Revolution CXV-616->B6,16mm",1,full_bit_scan
N/A,Revolution CXV616XTE,17.5,6,16,check,"fallback-3dig:Revolution CXV616XTE->B6,16mm",1,full_bit_scan
N/A,S519GSA1,8.5,5,19,check,"fallback-3dig:S519GSA1->B5,19mm",1,full_bit_scan
N/A,S519GSA3,8.5,5,19,check,"fallback-3dig:S519GSA3->B5,19mm",1,full_bit_scan
N/A,S519HGL-6S,12.25,5,19,check,"fallback-3dig:S519HGL-6S->B5,19mm",1,full_bit_scan
N/A,SF65,17.5,6,?(5),check,"fallback-2dig:SF65->B6,C5",1,full_bit_scan
N/A,SPD513,6.75,5,13,check,"fallback-3dig:SPD513->B5,13mm",1,full_bit_scan
N/A,SPL625,12.244095,6,?(2),check,"fallback-2dig:SPL625->B6,C2",1,full_bit_scan
N/A,SS513HGB,6.141732,5,13,check,"fallback-3dig:SS513HGB->B5,13mm",1,full_bit_scan
N/A,STX 30,6.75,3,?(0),check,"fallback-2dig:STX 30->B3,C0",1,full_bit_scan
N/A,Sabre BY519,12.244095,5,19,check,"fallback-3dig:Sabre BY519->B5,19mm",1,full_bit_scan
N/A,Southwest SW616,17.5,6,16,check,"fallback-3dig:Southwest SW616->B6,16mm",1,full_bit_scan
N/A,T806KS,12.244095,6,?(8),check,Baker:T806KS->C80B6(frac),1,full_bit_scan
N/A,TAPER MILL 4.653 OD 2 7/8 REG PIN,4.5,6,?(5),check,"fallback-2dig:TAPER MILL 4.653 OD 2 7/8 REG PIN->B6,C5",1,full_bit_scan
N/A,TriCity SW527GT,7.875,5,?(2),check,"fallback-2dig:TriCity SW527GT->B5,C2",1,full_bit_scan
N/A,WOS R813DGX,17.5,8,13,check,"fallback-3dig:WOS R813DGX->B8,13mm",1,full_bit_scan
N/A,XCD519 BOQ,16,5,19,check,"fallback-3dig:XCD519 BOQ->B5,19mm",1,full_bit_scan
N/A,"ZAPATA GU?A AUTOALINEABLE 3 1/2"", DE= 3.86"", ID= 2.690"", 12.70 LB/PIE, VTOP",5,8,?(6),check,"fallback-2dig:ZAPATA GU?A AUTOALINEABLE 3 1/2"", DE= 3.86"", ID= 2.690"", 12.70 LB/PIE, VTOP->B8,C6",1,full_bit_scan
NOV,1K63-N3,7.875,6,?(3),check,"fallback-2dig:1K63-N3->B6,C3",1,full_bit_scan
NOV,1KC63,6,6,?(3),check,"fallback-2dig:1KC63->B6,C3",1,full_bit_scan
NOV,1KC66-AB3,12.25,6,?(6),check,"fallback-2dig:1KC66-AB3->B6,C6",1,full_bit_scan
NOV,30.85,7.875,3,?(0),check,"fallback-2dig:30.85->B3,C0",1,full_bit_scan
NOV,519D,13.5,5,19,check,"fallback-3dig:519D->B5,19mm",1,full_bit_scan
NOV,5356322,6.125,5,?(3),check,"fallback-2dig:5356322->B5,C3",1,full_bit_scan
NOV,6.75,7.875,7,?(5),check,"fallback-2dig:6.75->B7,C5",1,full_bit_scan
NOV,73DI,6.75,7,?(3),check,"fallback-2dig:73DI->B7,C3",1,full_bit_scan
NOV,828ST-4-6-P,6.259843,8,?(2),check,"fallback-2dig:828ST-4-6-P->B8,C2",1,full_bit_scan
NOV,A311815-AE8,12.25,3,11,check,"fallback-3dig:A311815-AE8->B3,11mm",1,full_bit_scan
NOV,A313639,8.75,3,13,check,"fallback-3dig:A313639->B3,13mm",1,full_bit_scan
NOV,A313778,6.75,3,13,check,"fallback-3dig:A313778->B3,13mm",1,full_bit_scan
NOV,A314623,6.259843,3,14,check,"fallback-3dig:A314623->B3,14mm",1,full_bit_scan
NOV,A320086,6.75,3,?(2),check,"fallback-2dig:A320086->B3,C2",1,full_bit_scan
NOV,BXF416M,6.125,4,16,check,"fallback-3dig:BXF416M->B4,16mm",1,full_bit_scan
NOV,DC616M,8.75,6,16,check,"fallback-3dig:DC616M->B6,16mm",1,full_bit_scan
NOV,DC616M-X23,8.75,6,16,check,"fallback-3dig:DC616M-X23->B6,16mm",1,full_bit_scan
NOV,DS616M-X15,8.740158,6,16,check,"fallback-3dig:DS616M-X15->B6,16mm",1,full_bit_scan
NOV,DS713D-A1,6.75,7,13,check,"fallback-3dig:DS713D-A1->B7,13mm",1,full_bit_scan
NOV,DSC616MX23,8.75,6,16,check,"fallback-3dig:DSC616MX23->B6,16mm",1,full_bit_scan
NOV,F320894,6.125,8,?(2),check,Baker:F320894->C20B8(frac),1,full_bit_scan
NOV,FHI37HYV,7.875,3,?(7),check,"HAL:FHI37HYV->B3,C7(frac)",1,full_bit_scan
NOV,GT65s,17.5,6,?(5),check,"fallback-2dig:GT65s->B6,C5",1,full_bit_scan
NOV,K66-E3,17.5,6,?(6),check,"fallback-2dig:K66-E3->B6,C6",1,full_bit_scan
NOV,KF66-AE10,12.25,6,?(6),check,"fallback-2dig:KF66-AE10->B6,C6",1,full_bit_scan
NOV,KF66-AK1,9.875,6,?(6),check,"fallback-2dig:KF66-AK1->B6,C6",1,full_bit_scan
NOV,KF66-F2,10.625,6,?(6),check,"fallback-2dig:KF66-F2->B6,C6",1,full_bit_scan
NOV,MR616XU,9.875,6,16,check,"fallback-3dig:MR616XU->B6,16mm",1,full_bit_scan
NOV,NT516,8.5,5,16,check,"fallback-3dig:NT516->B5,16mm",1,full_bit_scan
NOV,RKF76-T10,12.25,7,?(6),check,"fallback-2dig:RKF76-T10->B7,C6",1,full_bit_scan
NOV,RSR716M-E5,12.25,7,16,check,"fallback-3dig:RSR716M-E5->B7,16mm",1,full_bit_scan
NOV,RSX616M,8.5,6,16,check,"fallback-3dig:RSX616M->B6,16mm",1,full_bit_scan
NOV,SI30AP,8.5,3,?(0),check,"fallback-2dig:SI30AP->B3,C0",1,full_bit_scan
NOV,SK613M-U2A,6,6,13,check,"fallback-3dig:SK613M-U2A->B6,13mm",1,full_bit_scan
NOV,SKC516D-D1C,9.875,5,16,check,"fallback-3dig:SKC516D-D1C->B5,16mm",1,full_bit_scan
NOV,SKC613M,6.75,6,13,check,"fallback-3dig:SKC613M->B6,13mm",1,full_bit_scan
NOV,SKC616M-M3,8.5,6,16,check,"fallback-3dig:SKC616M-M3->B6,16mm",1,full_bit_scan
NOV,SKC619,8.5,6,19,check,"fallback-3dig:SKC619->B6,19mm",1,full_bit_scan
NOV,SKF516S,12.25,5,16,check,"fallback-3dig:SKF516S->B5,16mm",1,full_bit_scan
NOV,SV619,12.244095,6,19,check,"fallback-3dig:SV619->B6,19mm",1,full_bit_scan
NOV,TB61ADH,8.5,6,?(1),check,"fallback-2dig:TB61ADH->B6,C1",1,full_bit_scan
NOV,TDC63,6.75,6,?(3),check,"fallback-2dig:TDC63->B6,C3",1,full_bit_scan
NOV,TDF63-R3,8.5,6,?(3),check,"fallback-2dig:TDF63-R3->B6,C3",1,full_bit_scan
NOV,TFHI519D,13.5,5,?(1),check,"HAL:TFHI519D->B5,C1(frac)",1,full_bit_scan
NOV,TFK60-N4,7.875,6,?(0),check,"NOV-TK:TFK60-N4->B6,C0",1,full_bit_scan
NOV,TH61DH,17.5,6,?(1),check,"HAL:TH61DH->B6,C1(frac)",1,full_bit_scan
NOV,THC 66-AL1,12.25,6,?(6),check,"fallback-2dig:THC 66-AL1->B6,C6",1,full_bit_scan
NOV,TK-56Y,8.75,5,?(6),check,"fallback-2dig:TK-56Y->B5,C6",1,full_bit_scan
NOV,TK-59,12.25,5,?(9),check,"fallback-2dig:TK-59->B5,C9",1,full_bit_scan
NOV,TK-63 R2,8.5,6,?(3),check,"fallback-2dig:TK-63 R2->B6,C3",1,full_bit_scan
NOV,TK-63H1,6.732284,6,?(3),check,"fallback-2dig:TK-63H1->B6,C3",1,full_bit_scan
NOV,TK-69,17.5,6,?(9),check,"fallback-2dig:TK-69->B6,C9",1,full_bit_scan
NOV,TK-73,12.25,7,?(3),check,"fallback-2dig:TK-73->B7,C3",1,full_bit_scan
NOV,TK-83,10.625,8,?(3),check,"fallback-2dig:TK-83->B8,C3",1,full_bit_scan
NOV,TK54-L4,6.259843,5,?(4),check,"NOV-TK:TK54-L4->B5,C4",1,full_bit_scan
NOV,TK59 A4,13.5,5,?(9),check,"NOV-TK:TK59 A4->B5,C9",1,full_bit_scan
NOV,TK59 B-1,13.5,5,?(9),check,"NOV-TK:TK59 B-1->B5,C9",1,full_bit_scan
NOV,TK59-R1,12.25,5,?(9),check,"NOV-TK:TK59-R1->B5,C9",1,full_bit_scan
NOV,TK67,17.5,6,?(7),check,"NOV-TK:TK67->B6,C7",1,full_bit_scan
NOV,TK69 B6,17.5,6,?(9),check,"NOV-TK:TK69 B6->B6,C9",1,full_bit_scan
NOV,TK69 B8,17.5,6,?(9),check,"NOV-TK:TK69 B8->B6,C9",1,full_bit_scan
NOV,TK69 RR,17.5,6,?(9),check,"NOV-TK:TK69 RR->B6,C9",1,full_bit_scan
NOV,TK69-B9,17.5,6,?(9),check,"NOV-TK:TK69-B9->B6,C9",1,full_bit_scan
NOV,TK69D-J3,12.25,6,?(9),check,"NOV-TK:TK69D-J3->B6,C9",1,full_bit_scan
NOV,TK806KS,12.244095,8,?(0),check,"NOV-TK:TK806KS->B8,C0",1,full_bit_scan
NOV,TKC 63 AB1,6.75,6,?(3),check,"fallback-2dig:TKC 63 AB1->B6,C3",1,full_bit_scan
NOV,TKC 63 AB2,6.75,6,?(3),check,"fallback-2dig:TKC 63 AB2->B6,C3",1,full_bit_scan
NOV,TKC 63 I1,6.75,6,?(3),check,"fallback-2dig:TKC 63 I1->B6,C3",1,full_bit_scan
NOV,TKC 63-N3,7.875,6,?(3),check,"fallback-2dig:TKC 63-N3->B6,C3",1,full_bit_scan
NOV,TKC 63-S1,6.75,6,?(3),check,"fallback-2dig:TKC 63-S1->B6,C3",1,full_bit_scan
NOV,TKC 66-A1,9.875,6,?(6),check,"fallback-2dig:TKC 66-A1->B6,C6",1,full_bit_scan
NOV,TKC 66A1,6.259843,6,?(6),check,"fallback-2dig:TKC 66A1->B6,C6",1,full_bit_scan
NOV,TKC 76-F1,10.625,7,?(6),check,"fallback-2dig:TKC 76-F1->B7,C6",1,full_bit_scan
NOV,TKC-56 Y,8.75,5,?(6),check,"fallback-2dig:TKC-56 Y->B5,C6",1,full_bit_scan
NOV,TKC-56G1,9.875,5,?(6),check,"fallback-2dig:TKC-56G1->B5,C6",1,full_bit_scan
NOV,TKC-56Y,8.75,5,?(6),check,"fallback-2dig:TKC-56Y->B5,C6",1,full_bit_scan
NOV,TKC-63 AD4,6.75,6,?(3),check,"fallback-2dig:TKC-63 AD4->B6,C3",1,full_bit_scan
NOV,TKC-63 N6,7.875,6,?(3),check,"fallback-2dig:TKC-63 N6->B6,C3",1,full_bit_scan
NOV,TKC-63-M2,6,6,?(3),check,"fallback-2dig:TKC-63-M2->B6,C3",1,full_bit_scan
NOV,TKC-63-N6,7.875,6,?(3),check,"fallback-2dig:TKC-63-N6->B6,C3",1,full_bit_scan
NOV,TKC-63AB1,6.75,6,?(3),check,"fallback-2dig:TKC-63AB1->B6,C3",1,full_bit_scan
NOV,TKC-63G9,8.75,6,?(3),check,"fallback-2dig:TKC-63G9->B6,C3",1,full_bit_scan
NOV,TKC-63N,7.875,6,?(3),check,"fallback-2dig:TKC-63N->B6,C3",1,full_bit_scan
NOV,TKC-63N4,7.875,6,?(3),check,"fallback-2dig:TKC-63N4->B6,C3",1,full_bit_scan
NOV,TKC-63N7,7.875,6,?(3),check,"fallback-2dig:TKC-63N7->B6,C3",1,full_bit_scan
NOV,TKC-66-AE10,12.25,6,?(6),check,"fallback-2dig:TKC-66-AE10->B6,C6",1,full_bit_scan
NOV,TKC-66-BC2,8.75,6,?(6),check,"fallback-2dig:TKC-66-BC2->B6,C6",1,full_bit_scan
NOV,TKC-66-CF1,8.75,6,?(6),check,"fallback-2dig:TKC-66-CF1->B6,C6",1,full_bit_scan
NOV,TKC-66CT2,8.75,6,?(6),check,"fallback-2dig:TKC-66CT2->B6,C6",1,full_bit_scan
NOV,TKC-76-U2,8.75,7,?(6),check,"fallback-2dig:TKC-76-U2->B7,C6",1,full_bit_scan
NOV,TKC49-12,8.5,4,?(9),check,"NOV-TK:TKC49-12->B4,C9",1,full_bit_scan
NOV,TKC59 (J1),7.875,5,?(9),check,"NOV-TK:TKC59 (J1)->B5,C9",1,full_bit_scan
NOV,TKC67-N7,7.875,6,?(7),check,"NOV-TK:TKC67-N7->B6,C7",1,full_bit_scan
NOV,TKC69-A1G,18.125,6,?(9),check,"NOV-TK:TKC69-A1G->B6,C9",1,full_bit_scan
NOV,TKC69-F1,17.5,6,?(9),check,"NOV-TK:TKC69-F1->B6,C9",1,full_bit_scan
NOV,TKC79,8.75,7,?(9),check,"NOV-TK:TKC79->B7,C9",1,full_bit_scan
NOV,TKE-63R1,7.875,6,?(3),check,"fallback-2dig:TKE-63R1->B6,C3",1,full_bit_scan
NOV,TKE61-M4,6.75,6,?(1),check,"fallback-2dig:TKE61-M4->B6,C1",1,full_bit_scan
NOV,TKE63-AE1,8.75,6,?(3),check,"fallback-2dig:TKE63-AE1->B6,C3",1,full_bit_scan
NOV,TKE63-AF1,6.141732,6,?(3),check,"fallback-2dig:TKE63-AF1->B6,C3",1,full_bit_scan
NOV,TKE63-N6,7.875,6,?(3),check,"fallback-2dig:TKE63-N6->B6,C3",1,full_bit_scan
NOV,TKF 56 H1,9.875,5,?(6),check,"fallback-2dig:TKF 56 H1->B5,C6",1,full_bit_scan
NOV,TKF 63-AE1,8.75,6,?(3),check,"fallback-2dig:TKF 63-AE1->B6,C3",1,full_bit_scan
NOV,TKF 63-N4,7.875,6,?(3),check,"fallback-2dig:TKF 63-N4->B6,C3",1,full_bit_scan
NOV,TKF 66,12.25,6,?(6),check,"fallback-2dig:TKF 66->B6,C6",1,full_bit_scan
NOV,TKF 66-AD5,8.5,6,?(6),check,"fallback-2dig:TKF 66-AD5->B6,C6",1,full_bit_scan
NOV,TKF 66-AE10,12.25,6,?(6),check,"fallback-2dig:TKF 66-AE10->B6,C6",1,full_bit_scan
NOV,TKF 66-BE1,8.75,6,?(6),check,"fallback-2dig:TKF 66-BE1->B6,C6",1,full_bit_scan
NOV,TKF 66N7,7.875,6,?(6),check,"fallback-2dig:TKF 66N7->B6,C6",1,full_bit_scan
NOV,TKF 76 G2,8.75,7,?(6),check,"fallback-2dig:TKF 76 G2->B7,C6",1,full_bit_scan
NOV,TKF 76 N-4,8.75,7,?(6),check,"fallback-2dig:TKF 76 N-4->B7,C6",1,full_bit_scan
NOV,TKF-63 AD4,6.75,6,?(3),check,"fallback-2dig:TKF-63 AD4->B6,C3",1,full_bit_scan
NOV,TKF-63-N3,7.875,6,?(3),check,"fallback-2dig:TKF-63-N3->B6,C3",1,full_bit_scan
NOV,TKF-63-R1,8.5,6,?(3),check,"fallback-2dig:TKF-63-R1->B6,C3",1,full_bit_scan
NOV,TKF-63NZ,7.875,6,?(3),check,"fallback-2dig:TKF-63NZ->B6,C3",1,full_bit_scan
NOV,TKF-66-AB2,9.875,6,?(6),check,"fallback-2dig:TKF-66-AB2->B6,C6",1,full_bit_scan
NOV,TKF-66-ADS,8.5,6,?(6),check,"fallback-2dig:TKF-66-ADS->B6,C6",1,full_bit_scan
NOV,TKF-66-AQ1,12.25,6,?(6),check,"fallback-2dig:TKF-66-AQ1->B6,C6",1,full_bit_scan
NOV,TKF-66-AZ1,8.75,6,?(6),check,"fallback-2dig:TKF-66-AZ1->B6,C6",1,full_bit_scan
NOV,TKF-66AE10,12.25,6,?(6),check,"fallback-2dig:TKF-66AE10->B6,C6",1,full_bit_scan
NOV,TKF-66AQ1,12.25,6,?(6),check,"fallback-2dig:TKF-66AQ1->B6,C6",1,full_bit_scan
NOV,TKF-76-N4,8.75,7,?(6),check,"fallback-2dig:TKF-76-N4->B7,C6",1,full_bit_scan
NOV,TKF-AU466,8.5,4,?(6),check,"fallback-2dig:TKF-AU466->B4,C6",1,full_bit_scan
NOV,TKF67-T1,8.75,6,?(7),check,"NOV-TK:TKF67-T1->B6,C7",1,full_bit_scan
NOV,TKF776-T1,8.75,7,?(7),check,"NOV-TK:TKF776-T1->B7,C7",1,full_bit_scan
NOV,TKF776-T8,12.25,7,?(7),check,"NOV-TK:TKF776-T8->B7,C7",1,full_bit_scan
NOV,TKFE61 M4,6.75,6,?(1),check,"fallback-2dig:TKFE61 M4->B6,C1",1,full_bit_scan
NOV,TKG56-G1,9.88,5,?(6),check,"fallback-2dig:TKG56-G1->B5,C6",1,full_bit_scan
NOV,TQ42K,12.25,4,?(2),check,"fallback-2dig:TQ42K->B4,C2",1,full_bit_scan
NOV,TX 36775,8.5,3,?(6),check,"fallback-2dig:TX 36775->B3,C6",1,full_bit_scan
NOV,TXC63-N4,7.875,6,?(3),check,"fallback-2dig:TXC63-N4->B6,C3",1,full_bit_scan
NOV,TXF66-AE10,12.25,6,?(6),check,"fallback-2dig:TXF66-AE10->B6,C6",1,full_bit_scan
NOV,TYKF66-AQ1,12.25,6,?(6),check,"fallback-2dig:TYKF66-AQ1->B6,C6",1,full_bit_scan
NOV,VCD30,8.75,3,?(0),check,"fallback-2dig:VCD30->B3,C0",1,full_bit_scan
NOV,YK63-B1,6.259843,6,?(3),check,"fallback-2dig:YK63-B1->B6,C3",1,full_bit_scan
NOV,tk76,17.5,7,?(6),check,"fallback-2dig:tk76->B7,C6",1,full_bit_scan
Numa,HT613M,7.875,6,?(1),check,"HAL:HT613M->B6,C1(frac)",1,full_bit_scan
REED,A314288,7.88,3,14,check,"fallback-3dig:A314288->B3,14mm",1,full_bit_scan
Reed,DSC616M-X23,8.75,6,16,check,"fallback-3dig:DSC616M-X23->B6,16mm",1,full_bit_scan
Reed,TKC-63 N7,7.875,6,?(3),check,"fallback-2dig:TKC-63 N7->B6,C3",1,full_bit_scan
Schlumberger,"32"" XR+C Milled Tooth Bit (With Extended Nozzles)",32,3,?(2),check,"fallback-2dig:32"" XR+C Milled Tooth Bit (With Extended Nozzles)->B3,C2",1,full_bit_scan
Schlumberger,325TB,6.259843,3,?(2),check,"fallback-2dig:325TB->B3,C2",1,full_bit_scan
Schlumberger,AT419M,8.5,4,19,check,"fallback-3dig:AT419M->B4,19mm",1,full_bit_scan
Schlumberger,B419 (Y419)-2D,8.5,4,19,check,"fallback-3dig:B419 (Y419)-2D->B4,19mm",1,full_bit_scan
Schlumberger,B519,12.25,5,19,check,"fallback-3dig:B519->B5,19mm",1,full_bit_scan
Schlumberger,B5516M,9.875,5,?(5),check,"fallback-2dig:B5516M->B5,C5",1,full_bit_scan
Schlumberger,B609,3.625,6,9,check,"fallback-3dig:B609->B6,9mm",1,full_bit_scan
Schlumberger,B7516,9.875,7,?(5),check,"fallback-2dig:B7516->B7,C5",1,full_bit_scan
Schlumberger,BBVT613S,6.259843,6,13,check,"fallback-3dig:BBVT613S->B6,13mm",1,full_bit_scan
Schlumberger,BF 516,6.75,5,16,check,"fallback-3dig:BF 516->B5,16mm",1,full_bit_scan
Schlumberger,BF313,6.125,3,13,check,"fallback-3dig:BF313->B3,13mm",1,full_bit_scan
Schlumberger,BF51,6.75,5,?(1),check,"fallback-2dig:BF51->B5,C1",1,full_bit_scan
Schlumberger,BF516M,12.25,5,16,check,"fallback-3dig:BF516M->B5,16mm",1,full_bit_scan
Schlumberger,BF713SM,12.25,7,13,check,"fallback-3dig:BF713SM->B7,13mm",1,full_bit_scan
Schlumberger,BFX416M,6.125,4,16,check,"fallback-3dig:BFX416M->B4,16mm",1,full_bit_scan
Schlumberger,BG616MC,17.5,6,16,check,"fallback-3dig:BG616MC->B6,16mm",1,full_bit_scan
Schlumberger,BP616SM,8.5,6,16,check,"fallback-3dig:BP616SM->B6,16mm",1,full_bit_scan
Schlumberger,BRT2057,6.75,5,?(2),check,Baker:BRT2057->C20B5(frac),1,full_bit_scan
Schlumberger,BRT716S,6.75,7,16,check,"fallback-3dig:BRT716S->B7,16mm",1,full_bit_scan
Schlumberger,BRT813SM,8.5,8,13,check,"fallback-3dig:BRT813SM->B8,13mm",1,full_bit_scan
Schlumberger,BT618M,8.75,6,?(1),check,"fallback-2dig:BT618M->B6,C1",1,full_bit_scan
Schlumberger,BTY519,12.244095,5,19,check,"fallback-3dig:BTY519->B5,19mm",1,full_bit_scan
Schlumberger,BV 516SM,8.75,5,16,check,"fallback-3dig:BV 516SM->B5,16mm",1,full_bit_scan
Schlumberger,BV513-6A,6.259843,5,13,check,"fallback-3dig:BV513-6A->B5,13mm",1,full_bit_scan
Schlumberger,BV516 SM,8.75,5,16,check,"fallback-3dig:BV516 SM->B5,16mm",1,full_bit_scan
Schlumberger,BV516M,8.75,5,16,check,"fallback-3dig:BV516M->B5,16mm",1,full_bit_scan
Schlumberger,BV519,8.740158,5,19,check,"fallback-3dig:BV519->B5,19mm",1,full_bit_scan
Schlumberger,BV613S,6.259843,6,13,check,"fallback-3dig:BV613S->B6,13mm",1,full_bit_scan
Schlumberger,BVC516S,8.740158,5,16,check,"fallback-3dig:BVC516S->B5,16mm",1,full_bit_scan
Schlumberger,BVT613S-2B,6.141732,6,13,check,"fallback-3dig:BVT613S-2B->B6,13mm",1,full_bit_scan
Schlumberger,BVT616S,8.740158,6,16,check,"fallback-3dig:BVT616S->B6,16mm",1,full_bit_scan
Schlumberger,BVX7613,6.732284,7,?(6),check,"fallback-2dig:BVX7613->B7,C6",1,full_bit_scan
Schlumberger,BVZ 513,6.732284,5,13,check,"fallback-3dig:BVZ 513->B5,13mm",1,full_bit_scan
Schlumberger,BVZ-513,6.75,5,13,check,"fallback-3dig:BVZ-513->B5,13mm",1,full_bit_scan
Schlumberger,BVZT613-1B,6.732284,6,13,check,"fallback-3dig:BVZT613-1B->B6,13mm",1,full_bit_scan
Schlumberger,BX 616,8.75,6,16,check,"fallback-3dig:BX 616->B6,16mm",1,full_bit_scan
Schlumberger,BX416-L,6.125,4,16,check,"fallback-3dig:BX416-L->B4,16mm",1,full_bit_scan
Schlumberger,BX613,6.75,6,13,check,"fallback-3dig:BX613->B6,13mm",1,full_bit_scan
Schlumberger,BX613C,6.75,6,13,check,"fallback-3dig:BX613C->B6,13mm",1,full_bit_scan
Schlumberger,BX613MC,6.75,6,13,check,"fallback-3dig:BX613MC->B6,13mm",1,full_bit_scan
Schlumberger,BX616s,12.25,6,16,check,"fallback-3dig:BX616s->B6,16mm",1,full_bit_scan
Schlumberger,BXF416M (X416),6.125,4,16,check,"fallback-3dig:BXF416M (X416)->B4,16mm",1,full_bit_scan
Schlumberger,BXF616M,13.5,6,16,check,"fallback-3dig:BXF616M->B6,16mm",1,full_bit_scan
Schlumberger,BXTZ 516,8.75,5,16,check,"fallback-3dig:BXTZ 516->B5,16mm",1,full_bit_scan
Schlumberger,BY 519,9.88189,5,19,check,"fallback-3dig:BY 519->B5,19mm",1,full_bit_scan
Schlumberger,BY419,8.5,4,19,check,"fallback-3dig:BY419->B4,19mm",1,full_bit_scan
Schlumberger,BYT 519,12.244095,5,19,check,"fallback-3dig:BYT 519->B5,19mm",1,full_bit_scan
Schlumberger,BZX613,8.75,6,13,check,"fallback-3dig:BZX613->B6,13mm",1,full_bit_scan
Schlumberger,DVT616S,8.740158,6,16,check,"fallback-3dig:DVT616S->B6,16mm",1,full_bit_scan
Schlumberger,ER8954TAODCRDX,12.25,8,?(9),check,"fallback-2dig:ER8954TAODCRDX->B8,C9",1,full_bit_scan
Schlumberger,F30T,8.75,3,?(0),check,"fallback-2dig:F30T->B3,C0",1,full_bit_scan
Schlumberger,FH3000DVPS,9.875,3,?(0),check,"HAL:FH3000DVPS->B3,C0(frac)",1,full_bit_scan
Schlumberger,FHI30 ODVP,7.875,3,?(0),check,"HAL:FHI30 ODVP->B3,C0(frac)",1,full_bit_scan
Schlumberger,FHi320DV,8.75,3,?(2),check,"HAL:FHi320DV->B3,C2(frac)",1,full_bit_scan
Schlumberger,FI46YAODCRDX,12.25,4,?(6),check,"fallback-2dig:FI46YAODCRDX->B4,C6",1,full_bit_scan
Schlumberger,FI49YAODCR DX,12.25,4,?(9),check,"fallback-2dig:FI49YAODCR DX->B4,C9",1,full_bit_scan
Schlumberger,FT616s,8.75,6,16,check,"fallback-3dig:FT616s->B6,16mm",1,full_bit_scan
Schlumberger,FT622M,26,6,22,check,"fallback-3dig:FT622M->B6,22mm",1,full_bit_scan
Schlumberger,FTR514C-22A,6,5,14,check,"fallback-3dig:FTR514C-22A->B5,14mm",1,full_bit_scan
Schlumberger,FXT716M,23,7,16,check,"fallback-3dig:FXT716M->B7,16mm",1,full_bit_scan
Schlumberger,G30B_ODVECPS,17.5,3,?(0),check,"fallback-2dig:G30B_ODVECPS->B3,C0",1,full_bit_scan
Schlumberger,GFS206VC,12.25,6,?(2),check,Baker:GFS206VC->C20B6(frac),1,full_bit_scan
Schlumberger,GTD560s,12.25,5,?(6),check,"HAL-GTD:GTD560s->B5,C6(frac)",1,full_bit_scan
Schlumberger,GTi65MHs,12.25,6,?(5),check,"fallback-2dig:GTi65MHs->B6,C5",1,full_bit_scan
Schlumberger,GTi65Os,12.25,6,?(5),check,"fallback-2dig:GTi65Os->B6,C5",1,full_bit_scan
Schlumberger,HF516,6.75,5,?(1),check,"HAL:HF516->B5,C1(frac)",1,full_bit_scan
Schlumberger,HT 513,6.75,5,13,check,"fallback-3dig:HT 513->B5,13mm",1,full_bit_scan
Schlumberger,HT 613,6.874016,6,13,check,"fallback-3dig:HT 613->B6,13mm",1,full_bit_scan
Schlumberger,HT-513,6.75,5,13,check,"fallback-3dig:HT-513->B5,13mm",1,full_bit_scan
Schlumberger,HT613M-69134B,7.875,6,?(1),check,"HAL:HT613M-69134B->B6,C1(frac)",1,full_bit_scan
Schlumberger,HT613M-69241,7.875,6,?(1),check,"HAL:HT613M-69241->B6,C1(frac)",1,full_bit_scan
Schlumberger,HT613M-69241A,7.875,6,?(1),check,"HAL:HT613M-69241A->B6,C1(frac)",1,full_bit_scan
Schlumberger,HT616M,8.75,6,?(1),check,"HAL:HT616M->B6,C1(frac)",1,full_bit_scan
Schlumberger,HT716SM,12.25,7,?(1),check,"HAL:HT716SM->B7,C1(frac)",1,full_bit_scan
Schlumberger,HVT-613,6.874016,6,13,check,"fallback-3dig:HVT-613->B6,13mm",1,full_bit_scan
Schlumberger,HXT613,8.75,6,?(1),check,"HAL:HXT613->B6,C1(frac)",1,full_bit_scan
Schlumberger,HXT716M,12.25,7,?(1),check,"HAL:HXT716M->B7,C1(frac)",1,full_bit_scan
Schlumberger,JV4526,8.5,4,?(5),check,"fallback-2dig:JV4526->B4,C5",1,full_bit_scan
Schlumberger,KM-X636T,24,6,?(3),check,"fallback-2dig:KM-X636T->B6,C3",1,full_bit_scan
Schlumberger,MD616MHBP X,12.25,6,16,check,"fallback-3dig:MD616MHBP X->B6,16mm",1,full_bit_scan
